Frame Count;Start Time;End Time
0; 2024-01-15 22:42:50.711;
1;2024-01-15 22:42:50.711;
2;2024-01-15 22:42:52.704;
3;2024-01-15 22:42:52.787;
4;2024-01-15 22:42:52.808;
5;2024-01-15 22:42:52.821;
6;2024-01-15 22:42:52.835;
7;2024-01-15 22:42:52.849;
8;2024-01-15 22:42:52.862;
9;2024-01-15 22:42:52.873;
10;2024-01-15 22:42:52.886;
11;2024-01-15 22:42:52.898;
12;2024-01-15 22:42:52.908;
13;2024-01-15 22:42:52.919;
14;2024-01-15 22:42:52.931;
15;2024-01-15 22:42:52.941;
16;2024-01-15 22:42:52.951;
17;2024-01-15 22:42:52.963;
18;2024-01-15 22:42:52.973;
19;2024-01-15 22:42:52.983;
20;2024-01-15 22:42:52.996;
21;2024-01-15 22:42:53.005;
22;2024-01-15 22:42:53.017;
23;2024-01-15 22:42:53.028;
24;2024-01-15 22:42:53.040;
25;2024-01-15 22:42:53.050;
26;2024-01-15 22:42:53.060;
27;2024-01-15 22:42:53.074;
28;2024-01-15 22:42:53.084;
29;2024-01-15 22:42:53.096;
30;2024-01-15 22:42:53.107;
31;2024-01-15 22:42:53.118;
32;2024-01-15 22:42:53.129;
33;2024-01-15 22:42:53.140;
34;2024-01-15 22:42:53.152;
35;2024-01-15 22:42:53.164;
36;2024-01-15 22:42:53.175;
37;2024-01-15 22:42:53.186;
38;2024-01-15 22:42:53.196;
39;2024-01-15 22:42:53.205;
40;2024-01-15 22:42:53.214;
41;2024-01-15 22:42:53.222;
42;2024-01-15 22:42:53.232;
43;2024-01-15 22:42:53.241;
44;2024-01-15 22:42:53.251;
45;2024-01-15 22:42:53.260;
46;2024-01-15 22:42:53.269;
47;2024-01-15 22:42:53.278;
48;2024-01-15 22:42:53.287;
49;2024-01-15 22:42:53.295;
50;2024-01-15 22:42:53.303;
51;2024-01-15 22:42:53.313;
52;2024-01-15 22:42:53.321;
53;2024-01-15 22:42:53.330;
54;2024-01-15 22:42:53.339;
55;2024-01-15 22:42:53.348;
56;2024-01-15 22:42:53.357;
57;2024-01-15 22:42:53.367;
58;2024-01-15 22:42:53.378;
59;2024-01-15 22:42:53.387;
60;2024-01-15 22:42:53.396;
61;2024-01-15 22:42:53.406;
62;2024-01-15 22:42:53.415;
63;2024-01-15 22:42:53.424;
64;2024-01-15 22:42:53.434;
65;2024-01-15 22:42:53.443;
66;2024-01-15 22:42:53.454;
67;2024-01-15 22:42:53.465;
68;2024-01-15 22:42:53.475;
69;2024-01-15 22:42:53.489;
70;2024-01-15 22:42:53.500;
71;2024-01-15 22:42:53.510;
72;2024-01-15 22:42:53.520;
73;2024-01-15 22:42:53.529;
74;2024-01-15 22:42:53.540;
75;2024-01-15 22:42:53.549;
76;2024-01-15 22:42:53.560;
77;2024-01-15 22:42:53.569;
78;2024-01-15 22:42:53.580;
79;2024-01-15 22:42:53.591;
80;2024-01-15 22:42:53.600;
81;2024-01-15 22:42:53.609;
82;2024-01-15 22:42:53.618;
83;2024-01-15 22:42:53.628;
84;2024-01-15 22:42:53.637;
85;2024-01-15 22:42:53.645;
86;2024-01-15 22:42:53.655;
87;2024-01-15 22:42:53.666;
88;2024-01-15 22:42:53.675;
89;2024-01-15 22:42:53.683;
90;2024-01-15 22:42:53.693;
91;2024-01-15 22:42:53.702;
92;2024-01-15 22:42:53.711;
93;2024-01-15 22:42:53.720;
94;2024-01-15 22:42:53.729;
95;2024-01-15 22:42:53.737;
96;2024-01-15 22:42:53.747;
97;2024-01-15 22:42:53.756;
98;2024-01-15 22:42:53.765;
99;2024-01-15 22:42:53.776;
100;2024-01-15 22:42:53.784;
101;2024-01-15 22:42:53.793;
102;2024-01-15 22:42:53.803;
103;2024-01-15 22:42:53.813;
104;2024-01-15 22:42:53.822;
105;2024-01-15 22:42:53.831;
106;2024-01-15 22:42:53.844;
107;2024-01-15 22:42:53.855;
108;2024-01-15 22:42:53.872;
109;2024-01-15 22:42:53.884;
110;2024-01-15 22:42:53.894;
111;2024-01-15 22:42:53.905;
112;2024-01-15 22:42:53.915;
113;2024-01-15 22:42:53.923;
114;2024-01-15 22:42:53.934;
115;2024-01-15 22:42:53.945;
116;2024-01-15 22:42:53.953;
117;2024-01-15 22:42:53.964;
118;2024-01-15 22:42:53.972;
119;2024-01-15 22:42:53.983;
120;2024-01-15 22:42:53.995;
121;2024-01-15 22:42:54.003;
122;2024-01-15 22:42:54.014;
123;2024-01-15 22:42:54.023;
124;2024-01-15 22:42:54.032;
125;2024-01-15 22:42:54.041;
126;2024-01-15 22:42:54.051;
127;2024-01-15 22:42:54.059;
128;2024-01-15 22:42:54.069;
129;2024-01-15 22:42:54.077;
130;2024-01-15 22:42:54.086;
131;2024-01-15 22:42:54.096;
132;2024-01-15 22:42:54.105;
133;2024-01-15 22:42:54.114;
134;2024-01-15 22:42:54.123;
135;2024-01-15 22:42:54.150;
136;2024-01-15 22:42:54.161;
137;2024-01-15 22:42:54.169;
138;2024-01-15 22:42:54.246;
139;2024-01-15 22:42:54.277;
140;2024-01-15 22:42:54.295;
141;2024-01-15 22:42:54.312;
142;2024-01-15 22:42:54.324;
143;2024-01-15 22:42:54.354;
144;2024-01-15 22:42:54.377;
145;2024-01-15 22:42:54.418;
146;2024-01-15 22:42:54.437;
147;2024-01-15 22:42:54.453;
148;2024-01-15 22:42:54.480;
149;2024-01-15 22:42:54.498;
150;2024-01-15 22:42:54.513;
151;2024-01-15 22:42:54.525;
152;2024-01-15 22:42:54.539;
153;2024-01-15 22:42:54.551;
154;2024-01-15 22:42:54.562;
155;2024-01-15 22:42:54.574;
156;2024-01-15 22:42:54.585;
157;2024-01-15 22:42:54.598;
158;2024-01-15 22:42:54.608;
159;2024-01-15 22:42:54.620;
160;2024-01-15 22:42:54.635;
161;2024-01-15 22:42:54.646;
162;2024-01-15 22:42:54.659;
163;2024-01-15 22:42:54.674;
164;2024-01-15 22:42:54.685;
165;2024-01-15 22:42:54.696;
166;2024-01-15 22:42:54.708;
167;2024-01-15 22:42:54.722;
168;2024-01-15 22:42:54.732;
169;2024-01-15 22:42:54.743;
170;2024-01-15 22:42:54.754;
171;2024-01-15 22:42:54.765;
172;2024-01-15 22:42:54.776;
173;2024-01-15 22:42:54.787;
174;2024-01-15 22:42:54.801;
175;2024-01-15 22:42:54.814;
176;2024-01-15 22:42:54.826;
177;2024-01-15 22:42:54.837;
178;2024-01-15 22:42:54.851;
179;2024-01-15 22:42:54.861;
180;2024-01-15 22:42:54.872;
181;2024-01-15 22:42:54.884;
182;2024-01-15 22:42:54.894;
183;2024-01-15 22:42:54.905;
184;2024-01-15 22:42:54.918;
185;2024-01-15 22:42:54.930;
186;2024-01-15 22:42:54.942;
187;2024-01-15 22:42:54.956;
188;2024-01-15 22:42:54.970;
189;2024-01-15 22:42:54.986;
190;2024-01-15 22:42:54.999;
191;2024-01-15 22:42:55.012;
192;2024-01-15 22:42:55.025;
193;2024-01-15 22:42:55.038;
194;2024-01-15 22:42:55.051;
195;2024-01-15 22:42:55.063;
196;2024-01-15 22:42:55.074;
197;2024-01-15 22:42:55.086;
198;2024-01-15 22:42:55.100;
199;2024-01-15 22:42:55.113;
200;2024-01-15 22:42:55.125;
201;2024-01-15 22:42:55.136;
202;2024-01-15 22:42:55.149;
203;2024-01-15 22:42:55.162;
204;2024-01-15 22:42:55.174;
205;2024-01-15 22:42:55.184;
206;2024-01-15 22:42:55.196;
207;2024-01-15 22:42:55.208;
208;2024-01-15 22:42:55.222;
209;2024-01-15 22:42:55.234;
210;2024-01-15 22:42:55.245;
211;2024-01-15 22:42:55.256;
212;2024-01-15 22:42:55.268;
213;2024-01-15 22:42:55.279;
214;2024-01-15 22:42:55.291;
215;2024-01-15 22:42:55.302;
216;2024-01-15 22:42:55.315;
217;2024-01-15 22:42:55.325;
218;2024-01-15 22:42:55.337;
219;2024-01-15 22:42:55.351;
220;2024-01-15 22:42:55.371;
221;2024-01-15 22:42:55.399;
222;2024-01-15 22:42:55.425;
223;2024-01-15 22:42:55.463;
224;2024-01-15 22:42:55.483;
225;2024-01-15 22:42:55.499;
226;2024-01-15 22:42:55.511;
227;2024-01-15 22:42:55.525;
228;2024-01-15 22:42:55.544;
229;2024-01-15 22:42:55.553;
230;2024-01-15 22:42:55.564;
231;2024-01-15 22:42:55.574;
232;2024-01-15 22:42:55.584;
233;2024-01-15 22:42:55.596;
234;2024-01-15 22:42:55.604;
235;2024-01-15 22:42:55.615;
236;2024-01-15 22:42:55.625;
237;2024-01-15 22:42:55.634;
238;2024-01-15 22:42:55.645;
239;2024-01-15 22:42:55.656;
240;2024-01-15 22:42:55.666;
241;2024-01-15 22:42:55.677;
242;2024-01-15 22:42:55.688;
