Frame Count,Start Time
0,New Text
1,2024-01-29 22:38:00.164
2,2024-01-29 22:38:01.985
3,2024-01-29 22:38:02.001
4,2024-01-29 22:38:02.034
5,2024-01-29 22:38:02.068
6,2024-01-29 22:38:02.101
7,2024-01-29 22:38:02.135
8,2024-01-29 22:38:02.168
9,2024-01-29 22:38:02.201
10,2024-01-29 22:38:02.235
11,2024-01-29 22:38:02.268
12,2024-01-29 22:38:02.302
13,2024-01-29 22:38:02.335
14,2024-01-29 22:38:02.368
15,2024-01-29 22:38:02.402
16,2024-01-29 22:38:02.436
17,2024-01-29 22:38:02.470
18,2024-01-29 22:38:02.502
19,2024-01-29 22:38:02.536
20,2024-01-29 22:38:02.569
21,2024-01-29 22:38:02.602
22,2024-01-29 22:38:02.636
23,2024-01-29 22:38:02.669
24,2024-01-29 22:38:02.705
25,2024-01-29 22:38:02.737
26,2024-01-29 22:38:02.770
27,2024-01-29 22:38:02.804
28,2024-01-29 22:38:02.837
29,2024-01-29 22:38:02.870
30,2024-01-29 22:38:02.904
31,2024-01-29 22:38:02.937
32,2024-01-29 22:38:02.970
33,2024-01-29 22:38:03.004
34,2024-01-29 22:38:03.037
35,2024-01-29 22:38:03.071
36,2024-01-29 22:38:03.104
37,2024-01-29 22:38:03.137
38,2024-01-29 22:38:03.171
39,2024-01-29 22:38:03.205
40,2024-01-29 22:38:03.237
41,2024-01-29 22:38:03.297
42,2024-01-29 22:38:03.318
43,2024-01-29 22:38:03.349
44,2024-01-29 22:38:03.383
45,2024-01-29 22:38:03.423
46,2024-01-29 22:38:03.455
47,2024-01-29 22:38:03.488
48,2024-01-29 22:38:03.522
49,2024-01-29 22:38:03.555
50,2024-01-29 22:38:03.589
51,2024-01-29 22:38:03.622
52,2024-01-29 22:38:03.655
53,2024-01-29 22:38:03.689
54,2024-01-29 22:38:03.722
55,2024-01-29 22:38:03.756
56,2024-01-29 22:38:03.789
57,2024-01-29 22:38:03.823
58,2024-01-29 22:38:03.857
59,2024-01-29 22:38:03.890
60,2024-01-29 22:38:03.923
61,2024-01-29 22:38:03.957
62,2024-01-29 22:38:03.990
63,2024-01-29 22:38:04.026
64,2024-01-29 22:38:04.058
65,2024-01-29 22:38:04.091
66,2024-01-29 22:38:04.125
67,2024-01-29 22:38:04.158
68,2024-01-29 22:38:04.192
69,2024-01-29 22:38:04.225
70,2024-01-29 22:38:04.258
71,2024-01-29 22:38:04.293
72,2024-01-29 22:38:04.325
73,2024-01-29 22:38:04.359
74,2024-01-29 22:38:04.394
75,2024-01-29 22:38:04.426
76,2024-01-29 22:38:04.458
77,2024-01-29 22:38:04.492
78,2024-01-29 22:38:04.526
79,2024-01-29 22:38:04.559
80,2024-01-29 22:38:04.593
81,2024-01-29 22:38:04.626
82,2024-01-29 22:38:04.659
83,2024-01-29 22:38:04.693
84,2024-01-29 22:38:04.725
85,2024-01-29 22:38:04.760
86,2024-01-29 22:38:04.792
87,2024-01-29 22:38:04.827
88,2024-01-29 22:38:04.864
89,2024-01-29 22:38:04.896
90,2024-01-29 22:38:04.926
91,2024-01-29 22:38:04.960
92,2024-01-29 22:38:04.994
93,2024-01-29 22:38:05.027
94,2024-01-29 22:38:05.061
95,2024-01-29 22:38:05.095
96,2024-01-29 22:38:05.128
97,2024-01-29 22:38:05.162
98,2024-01-29 22:38:05.195
99,2024-01-29 22:38:05.227
100,2024-01-29 22:38:05.261
101,2024-01-29 22:38:05.295
102,2024-01-29 22:38:05.328
103,2024-01-29 22:38:05.362
104,2024-01-29 22:38:05.395
105,2024-01-29 22:38:05.428
106,2024-01-29 22:38:05.462
107,2024-01-29 22:38:05.496
108,2024-01-29 22:38:05.529
109,2024-01-29 22:38:05.562
110,2024-01-29 22:38:05.595
111,2024-01-29 22:38:05.628
112,2024-01-29 22:38:05.662
113,2024-01-29 22:38:05.695
114,2024-01-29 22:38:05.729
115,2024-01-29 22:38:05.763
116,2024-01-29 22:38:05.797
117,2024-01-29 22:38:05.831
118,2024-01-29 22:38:05.864
119,2024-01-29 22:38:05.897
120,2024-01-29 22:38:05.931
121,2024-01-29 22:38:05.964
122,2024-01-29 22:38:05.998
123,2024-01-29 22:38:06.031
124,2024-01-29 22:38:06.065
125,2024-01-29 22:38:06.098
126,2024-01-29 22:38:06.132
127,2024-01-29 22:38:06.164
128,2024-01-29 22:38:06.198
129,2024-01-29 22:38:06.232
130,2024-01-29 22:38:06.266
131,2024-01-29 22:38:06.300
132,2024-01-29 22:38:06.332
133,2024-01-29 22:38:06.366
134,2024-01-29 22:38:06.399
135,2024-01-29 22:38:06.432
136,2024-01-29 22:38:06.466
137,2024-01-29 22:38:06.499
138,2024-01-29 22:38:06.533
139,2024-01-29 22:38:06.566
140,2024-01-29 22:38:06.600
141,2024-01-29 22:38:06.634
142,2024-01-29 22:38:06.667
